,pc_brand,pc_model,elt_condition,elt_warranty (tháng),desktop_screen_size (inch),pc_cpu,pc_ram (GB),pc_vga,pc_drive_capacity (GB),elt_origin,classify,price
107,desktop,desktop,Đã sử dụng (qua sửa chữa),0,0,Intel Core i5,8.0,NVIDIA,500,Nước khác,desktop,3.000.000 đ
108,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,20,Intel Core i5,8.0,Onboard,120,Nước khác,desktop,2.200.000 đ
109,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,8.0,Onboard,120,Nước khác,desktop,2.000.000 đ
110,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,0,Intel Core i5,32.0,NVIDIA,250,Việt Nam,desktop,10.000.000 đ
111,desktop,desktop,Mới,9,0,Intel Xeon,64.0,AMD,256,Trung Quốc,desktop,5.850.000 đ
112,desktop,desktop,Mới,1,21,Intel Core i7,8.0,Onboard,320,Mỹ,desktop,5.550.000 đ
113,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i5,8.0,NVIDIA,120,Việt Nam,desktop,3.200.000 đ
114,desktop,desktop,Đã sử dụng (chưa sửa chữa),9,21,Intel Core i3,16.0,NVIDIA,250,Nước khác,desktop,11.000.000 đ
115,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Xeon,16.0,NVIDIA,750,Việt Nam,desktop,8.500.000 đ
116,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,8.0,Onboard,128,Nước khác,desktop,1.800.000 đ
117,desktop,desktop,Mới,0,20,Intel Core i3,64.0,Onboard,120,Việt Nam,desktop,5.555.555 đ
118,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Xeon,32.0,AMD,500,Mỹ,desktop,4.900.000 đ
119,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,21,Intel Xeon,32.0,AMD,1000,Việt Nam,desktop,7.500.000 đ
120,desktop,desktop,Mới,9,0,Intel Xeon,64.0,AMD,512,Trung Quốc,desktop,7.990.000 đ
121,desktop,desktop,Mới,12,21,Intel Core i5,8.0,NVIDIA,128,Việt Nam,desktop,3.800.000 đ
122,desktop,desktop,Đã sử dụng (chưa sửa chữa),12,0,Intel Core i5,8.0,AMD,128,Việt Nam,desktop,3.400.000 đ
123,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i3,8.0,NVIDIA,120,Việt Nam,desktop,1.700.000 đ
124,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,20,Intel Core i5,8.0,Onboard,120,Việt Nam,desktop,2.400.000 đ
125,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,4.0,Onboard,500,Nước khác,desktop,1.900.000 đ
126,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i5,8.0,Onboard,256,Nước khác,desktop,2.500.000 đ
127,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,0,Intel Xeon,32.0,Onboard,512,Nước khác,desktop,7.200.000 đ
128,desktop,desktop,Mới,9,0,Intel Xeon,64.0,AMD,256,Trung Quốc,desktop,5.300.000 đ
129,desktop,desktop,Đã sử dụng (chưa sửa chữa),1,21,Intel Core i5,8.0,Onboard,256,Việt Nam,desktop,8.800.000 đ
130,desktop,desktop,Đã sử dụng (qua sửa chữa),0,0,Intel Core i3,4.0,Onboard,128,Nước khác,desktop,400.000 đ
131,desktop,desktop,Mới,1,0,Intel Core i7,32.0,NVIDIA,1000,Nước khác,desktop,27.200.000 đ
132,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,21,Intel Core i5,8.0,AMD,128,Nhật Bản,desktop,4.800.000 đ
133,desktop,desktop,Đã sử dụng (chưa sửa chữa),3,0,Intel Core i5,8.0,Onboard,250,Mỹ,desktop,2.900.000 đ
134,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i3,8.0,NVIDIA,120,Nước khác,desktop,3.000.000 đ
135,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,0,Intel Core i3,16.0,Onboard,500,Nước khác,desktop,1.500.000 đ
136,desktop,desktop,Đã sử dụng (chưa sửa chữa),0,21,Intel Core i3,8.0,AMD,128,Việt Nam,desktop,5.499.999 đ
137,desktop,desktop,Mới,9,21,Intel Core i5,8.0,Onboard,128,Việt Nam,desktop,3.850.000 đ
