,pc_brand,pc_model,elt_condition,elt_warranty (tháng),desktop_screen_size (inch),pc_cpu,pc_ram (GB),pc_vga,pc_drive_capacity (GB),elt_origin,classify,price (VND),pc_cpu_label
378,15,101,1,0,20,8,8.0,2,1000,3,0,2100000.0,2
379,15,101,1,0,20,9,8.0,2,128,2,0,800000.0,2
380,15,101,0,3,0,14,32.0,1,128,6,0,4300000.0,2
381,15,101,1,0,0,16,8.0,2,250,3,0,6000000.0,0
382,15,101,1,0,0,9,8.0,1,250,3,0,7000000.0,2
383,15,101,1,0,21,9,8.0,2,128,3,0,2600000.0,2
384,15,101,1,0,21,8,8.0,2,120,3,0,3500000.0,2
385,15,101,1,0,0,9,6.0,2,128,3,0,2000000.0,2
386,15,101,1,1,21,9,8.0,2,250,3,0,2900000.0,2
387,15,101,1,0,21,10,8.0,1,128,3,0,5500000.0,2
388,15,101,1,1,18,8,4.0,2,256,6,0,1400000.0,2
389,15,101,1,1,0,8,8.0,1,128,6,0,4300000.0,2
390,15,101,1,0,0,14,16.0,1,128,2,0,2500000.0,2
391,15,101,1,0,20,10,8.0,1,128,6,0,2800000.0,2
392,15,101,1,0,20,10,8.0,2,128,3,0,2250000.0,2
393,15,101,1,0,0,10,8.0,1,128,3,0,3750000.0,2
394,15,101,1,3,0,10,16.0,1,256,3,0,5555555.0,2
395,15,101,1,0,0,9,4.0,2,128,3,0,2000000.0,2
396,15,101,1,0,0,9,16.0,1,256,3,0,8800000.0,2
